Player Name                        ;Ping ;Kill ;Assist ;Death ;MVP ;Accuracy ;Score ;Map            ;Date                ;Wait time ;Match duration ; ; ;
Kortrex hellcase.com               ;31   ;9    ;1      ;13    ;5   ;44       ;20    ;Cobblestone    ;2021-02-07 17:12:18 ;01:07     ;13:13          ; ; ;
Bombas                             ;41   ;5    ;1      ;10    ;1   ;60       ;15    ;Cobblestone    ;2021-02-07 17:12:18 ;01:07     ;13:13          ; ; ;
Ilesis                             ;15   ;12   ;2      ;7     ;4   ;23       ;26    ;Cobblestone    ;2021-02-07 17:12:18 ;01:07     ;13:13          ; ; ;
Loviflo                            ;22   ;10   ;1      ;8     ;5   ;50       ;21    ;Cobblestone    ;2021-02-07 17:12:18 ;01:07     ;13:13          ; ; ;
Loviflo                            ;27   ;15   ;1      ;9     ;5   ;13       ;33    ;Nuke           ;2021-02-06 21:40:25 ;00:29     ;13:32          ; ; ;
Ilesis                             ;27   ;7    ;2      ;13    ;3   ;42       ;22    ;Nuke           ;2021-02-06 21:40:25 ;00:29     ;13:32          ; ; ;
Ongaku-San                         ;64   ;13   ;2      ;10    ;4   ;46       ;30    ;Nuke           ;2021-02-06 21:40:25 ;00:29     ;13:32          ; ; ;
Lebron James                       ;49   ;9    ;6      ;12    ;4   ;44       ;24    ;Nuke           ;2021-02-06 21:40:25 ;00:29     ;13:32          ; ; ;
Loviflo                            ;27   ;13   ;3      ;7     ;8   ;23       ;33    ;Nuke           ;2021-02-06 21:25:37 ;00:38     ;11:09          ; ; ;
Ilesis                             ;28   ;9    ;1      ;7     ;1   ;33       ;21    ;Nuke           ;2021-02-06 21:25:37 ;00:38     ;11:09          ; ; ;
NORBIII                            ;57   ;12   ;0      ;9     ;5   ;25       ;30    ;Nuke           ;2021-02-06 21:25:37 ;00:38     ;11:09          ; ; ;
igortas                            ;26   ;2    ;5      ;13    ;1   ;50       ;9     ;Nuke           ;2021-02-06 21:25:37 ;00:38     ;11:09          ; ; ;
paw                                ;62   ;9    ;0      ;9     ;4   ;22       ;22    ;Cobblestone    ;2021-02-06 21:09:46 ;01:03     ;11:38          ; ; ;
rippl3                             ;83   ;5    ;3      ;11    ;1   ;60       ;13    ;Cobblestone    ;2021-02-06 21:09:46 ;01:03     ;11:38          ; ; ;
Loviflo                            ;32   ;14   ;0      ;7     ;6   ;50       ;33    ;Cobblestone    ;2021-02-06 21:09:46 ;01:03     ;11:38          ; ; ;
Ilesis                             ;35   ;6    ;1      ;7     ;3   ;50       ;17    ;Cobblestone    ;2021-02-06 21:09:46 ;01:03     ;11:38          ; ; ;
Loviflo                            ;11   ;10   ;2      ;3     ;7   ;10       ;24    ;Nuke           ;2021-02-06 20:53:14 ;00:16     ;11:43          ; ; ;
Ilesis                             ;10   ;8    ;2      ;3     ;2   ;25       ;19    ;Nuke           ;2021-02-06 20:53:14 ;00:16     ;11:43          ; ; ;
ch0Rt                              ;93   ;4    ;0      ;9     ;0   ;50       ;8     ;Nuke           ;2021-02-06 20:53:14 ;00:16     ;11:43          ; ; ;
KorbenDallas                       ;46   ;2    ;2      ;9     ;1   ;50       ;6     ;Nuke           ;2021-02-06 20:53:14 ;00:16     ;11:43          ; ; ;
Ilesis                             ;17   ;12   ;2      ;6     ;4   ;25       ;28    ;Nuke           ;2021-02-06 20:39:46 ;01:02     ;10:12          ; ; ;
Loviflo                            ;11   ;9    ;3      ;7     ;5   ;33       ;23    ;Nuke           ;2021-02-06 20:39:46 ;01:02     ;10:12          ; ; ;
Señor slniak♿                      ;15   ;7    ;0      ;11    ;3   ;57       ;16    ;Nuke           ;2021-02-06 20:39:46 ;01:02     ;10:12          ; ; ;
✪𝖃𝖆𝖄𝖔𝖔_                       ;35   ;6    ;0      ;10    ;2   ;83       ;14    ;Nuke           ;2021-02-06 20:39:46 ;01:02     ;10:12          ; ; ;
Mpower                             ;37   ;10   ;0      ;4     ;3   ;70       ;20    ;Nuke           ;2021-02-06 20:28:58 ;02:26     ;07:34          ; ; ;
Winamp                             ;30   ;8    ;2      ;6     ;6   ;75       ;18    ;Nuke           ;2021-02-06 20:28:58 ;02:26     ;07:34          ; ; ;
Loviflo                            ;27   ;6    ;0      ;9     ;2   ;16       ;12    ;Nuke           ;2021-02-06 20:28:58 ;02:26     ;07:34          ; ; ;
Ilesis                             ;29   ;4    ;1      ;9     ;0   ;25       ;9     ;Nuke           ;2021-02-06 20:28:58 ;02:26     ;07:34          ; ; ;
Loviflo                            ;12   ;10   ;5      ;11    ;5   ;40       ;29    ;Nuke           ;2021-02-06 20:10:58 ;01:01     ;12:34          ; ; ;
Ilesis                             ;19   ;9    ;1      ;12    ;2   ;44       ;23    ;Nuke           ;2021-02-06 20:10:58 ;01:01     ;12:34          ; ; ;
☠ⓁàҞĩ☠_ඏТūӿѻня                     ;78   ;14   ;1      ;9     ;7   ;50       ;29    ;Nuke           ;2021-02-06 20:10:58 ;01:01     ;12:34          ; ; ;
zen4er                             ;65   ;9    ;2      ;10    ;2   ;55       ;27    ;Nuke           ;2021-02-06 20:10:58 ;01:01     ;12:34          ; ; ;
Loviflo                            ;11   ;13   ;0      ;5     ;6   ;38       ;26    ;Nuke           ;2021-02-04 21:37:18 ;01:09     ;13:12          ; ; ;
Ilesis                             ;15   ;6    ;3      ;6     ;3   ;66       ;17    ;Nuke           ;2021-02-04 21:37:18 ;01:09     ;13:12          ; ; ;
PerasBelas                         ;44   ;6    ;2      ;10    ;3   ;50       ;14    ;Nuke           ;2021-02-04 21:37:18 ;01:09     ;13:12          ; ; ;
如果你讀這個，你就是                         ;38   ;5    ;2      ;9     ;1   ;20       ;12    ;Nuke           ;2021-02-04 21:37:18 ;01:09     ;13:12          ; ; ;
Loviflo                            ;16   ;16   ;2      ;6     ;7   ;18       ;36    ;Nuke           ;2021-02-04 21:22:30 ;01:29     ;11:19          ; ; ;
Ilesis                             ;33   ;5    ;5      ;9     ;2   ;40       ;15    ;Nuke           ;2021-02-04 21:22:30 ;01:29     ;11:19          ; ; ;
lenin                              ;37   ;8    ;1      ;10    ;2   ;37       ;17    ;Nuke           ;2021-02-04 21:22:30 ;01:29     ;11:19          ; ; ;
Xeranat #                          ;55   ;7    ;0      ;11    ;3   ;42       ;16    ;Nuke           ;2021-02-04 21:22:30 ;01:29     ;11:19          ; ; ;
plz dont rage im smurfing          ;42   ;17   ;0      ;6     ;7   ;29       ;36    ;Nuke           ;2021-02-04 21:01:02 ;01:57     ;17:41          ; ; ;
An0m4lly                           ;18   ;2    ;1      ;12    ;2   ;0        ;5     ;Nuke           ;2021-02-04 21:01:02 ;01:57     ;17:41          ; ; ;
Loviflo                            ;21   ;14   ;0      ;9     ;5   ;50       ;32    ;Nuke           ;2021-02-04 21:01:02 ;01:57     ;17:41          ; ; ;
Ilesis                             ;26   ;4    ;1      ;10    ;2   ;50       ;13    ;Nuke           ;2021-02-04 21:01:02 ;01:57     ;17:41          ; ; ;
Be$t Frost                         ;11   ;11   ;2      ;12    ;7   ;45       ;24    ;Nuke           ;2021-02-04 20:41:35 ;01:04     ;14:51          ; ; ;
Pinokio                            ;33   ;7    ;3      ;11    ;1   ;25       ;19    ;Nuke           ;2021-02-04 20:41:35 ;01:04     ;14:51          ; ; ;
Loviflo                            ;30   ;11   ;4      ;11    ;6   ;54       ;28    ;Nuke           ;2021-02-04 20:41:35 ;01:04     ;14:51          ; ; ;
Ilesis                             ;57   ;11   ;0      ;8     ;2   ;45       ;26    ;Nuke           ;2021-02-04 20:41:35 ;01:04     ;14:51          ; ; ;
Loviflo                            ;13   ;11   ;0      ;10    ;5   ;41       ;22    ;Nuke           ;2021-02-04 19:16:31 ;02:37     ;12:33          ; ; ;
Ilesis                             ;27   ;5    ;1      ;10    ;2   ;40       ;11    ;Nuke           ;2021-02-04 19:16:31 ;02:37     ;12:33          ; ; ;
Kermit de Kikker                   ;43   ;13   ;1      ;7     ;6   ;46       ;27    ;Nuke           ;2021-02-04 19:16:31 ;02:37     ;12:33          ; ; ;
Talibanstrijder Elmo               ;45   ;6    ;2      ;10    ;3   ;83       ;14    ;Nuke           ;2021-02-04 19:16:31 ;02:37     ;12:33          ; ; ;
Loviflo                            ;11   ;13   ;2      ;7     ;6   ;38       ;31    ;Nuke           ;2021-02-04 19:01:35 ;01:14     ;09:41          ; ; ;
Ilesis                             ;14   ;7    ;2      ;9     ;3   ;14       ;18    ;Nuke           ;2021-02-04 19:01:35 ;01:14     ;09:41          ; ; ;
Семён зайцев                       ;46   ;13   ;1      ;9     ;5   ;46       ;27    ;Nuke           ;2021-02-04 19:01:35 ;01:14     ;09:41          ; ; ;
Pilmen                             ;42   ;3    ;4      ;11    ;0   ;33       ;14    ;Nuke           ;2021-02-04 19:01:35 ;01:14     ;09:41          ; ; ;
srtyzinhoow                        ;42   ;6    ;0      ;10    ;1   ;66       ;15    ;Nuke           ;2021-02-02 22:02:46 ;01:01     ;09:06          ; ; ;
rikito bonito                      ;43   ;6    ;0      ;10    ;2   ;85       ;12    ;Nuke           ;2021-02-02 22:02:46 ;01:01     ;09:06          ; ; ;
Loviflo                            ;4    ;13   ;2      ;7     ;6   ;46       ;30    ;Nuke           ;2021-02-02 22:02:46 ;01:01     ;09:06          ; ; ;
Ilesis                             ;18   ;6    ;7      ;6     ;3   ;66       ;26    ;Nuke           ;2021-02-02 22:02:46 ;01:01     ;09:06          ; ; ;
Cpt_Kek                            ;48   ;10   ;1      ;9     ;5   ;20       ;21    ;Nuke           ;2021-02-02 21:48:54 ;01:10     ;10:43          ; ; ;
CRAZEDDUCKling                     ;46   ;3    ;1      ;10    ;0   ;33       ;9     ;Nuke           ;2021-02-02 21:48:54 ;01:10     ;10:43          ; ; ;
Loviflo                            ;14   ;12   ;1      ;6     ;6   ;33       ;25    ;Nuke           ;2021-02-02 21:48:54 ;01:10     ;10:43          ; ; ;
Ilesis                             ;34   ;7    ;2      ;7     ;3   ;28       ;20    ;Nuke           ;2021-02-02 21:48:54 ;01:10     ;10:43          ; ; ;
Loviflo                            ;29   ;12   ;1      ;3     ;7   ;41       ;27    ;Nuke           ;2021-02-02 21:38:54 ;01:03     ;06:34          ; ; ;
Ilesis                             ;36   ;5    ;3      ;1     ;2   ;16       ;13    ;Nuke           ;2021-02-02 21:38:54 ;01:03     ;06:34          ; ; ;
Adri                               ;92   ;2    ;0      ;9     ;0   ;50       ;5     ;Nuke           ;2021-02-02 21:38:54 ;01:03     ;06:34          ; ; ;
Alimerk                            ;73   ;1    ;1      ;9     ;0   ;0        ;5     ;Nuke           ;2021-02-02 21:38:54 ;01:03     ;06:34          ; ; ;
Ilesis                             ;31   ;10   ;1      ;5     ;6   ;30       ;23    ;Nuke           ;2021-02-02 21:25:18 ;00:50     ;09:50          ; ; ;
Loviflo                            ;27   ;10   ;2      ;6     ;3   ;40       ;22    ;Nuke           ;2021-02-02 21:25:18 ;00:50     ;09:50          ; ; ;
TheMatt                            ;34   ;7    ;2      ;10    ;4   ;42       ;16    ;Nuke           ;2021-02-02 21:25:18 ;00:50     ;09:50          ; ; ;
sleep                              ;27   ;4    ;1      ;10    ;0   ;25       ;12    ;Nuke           ;2021-02-02 21:25:18 ;00:50     ;09:50          ; ; ;
L u s s e.                         ;43   ;11   ;2      ;7     ;5   ;54       ;24    ;Cobblestone    ;2021-02-02 21:09:58 ;01:06     ;10:34          ; ; ;
Tulfe Orchdräpare                  ;41   ;10   ;1      ;6     ;4   ;40       ;23    ;Cobblestone    ;2021-02-02 21:09:58 ;01:06     ;10:34          ; ; ;
Loviflo                            ;27   ;7    ;2      ;10    ;4   ;14       ;16    ;Cobblestone    ;2021-02-02 21:09:58 ;01:06     ;10:34          ; ; ;
Ilesis                             ;36   ;6    ;1      ;11    ;0   ;33       ;13    ;Cobblestone    ;2021-02-02 21:09:58 ;01:06     ;10:34          ; ; ;
Марадёр Власова                    ;36   ;10   ;3      ;6     ;7   ;30       ;25    ;Overpass       ;2021-02-02 20:55:10 ;01:21     ;11:17          ; ; ;
pick up ebalo, a to upalo.         ;55   ;9    ;0      ;5     ;2   ;11       ;18    ;Overpass       ;2021-02-02 20:55:10 ;01:21     ;11:17          ; ; ;
Loviflo                            ;35   ;7    ;1      ;9     ;2   ;57       ;15    ;Overpass       ;2021-02-02 20:55:10 ;01:21     ;11:17          ; ; ;
Ilesis                             ;42   ;4    ;0      ;10    ;1   ;50       ;8     ;Overpass       ;2021-02-02 20:55:10 ;01:21     ;11:17          ; ; ;
Марадёр Власова                    ;36   ;11   ;1      ;7     ;7   ;45       ;23    ;Cobblestone    ;2021-02-02 20:40:30 ;00:12     ;10:51          ; ; ;
pick up ebalo, a to upalo.         ;48   ;8    ;1      ;8     ;2   ;62       ;19    ;Cobblestone    ;2021-02-02 20:40:30 ;00:12     ;10:51          ; ; ;
Loviflo                            ;21   ;11   ;1      ;9     ;4   ;54       ;23    ;Cobblestone    ;2021-02-02 20:40:30 ;00:12     ;10:51          ; ; ;
Ilesis                             ;13   ;4    ;2      ;10    ;1   ;25       ;10    ;Cobblestone    ;2021-02-02 20:40:30 ;00:12     ;10:51          ; ; ;
Loviflo                            ;15   ;14   ;2      ;9     ;7   ;28       ;30    ;Nuke           ;2021-02-01 21:55:59 ;01:09     ;11:40          ; ; ;
Ilesis                             ;27   ;5    ;3      ;11    ;1   ;40       ;15    ;Nuke           ;2021-02-01 21:55:59 ;01:09     ;11:40          ; ; ;
Tella22                            ;11   ;12   ;2      ;9     ;6   ;58       ;26    ;Nuke           ;2021-02-01 21:55:59 ;01:09     ;11:40          ; ; ;
Busland                            ;8    ;8    ;2      ;10    ;2   ;12       ;22    ;Nuke           ;2021-02-01 21:55:59 ;01:09     ;11:40          ; ; ;
Loviflo                            ;15   ;9    ;4      ;3     ;6   ;44       ;26    ;Train          ;2021-02-01 21:42:15 ;01:00     ;09:31          ; ; ;
Ilesis                             ;25   ;10   ;1      ;3     ;3   ;30       ;24    ;Train          ;2021-02-01 21:42:15 ;01:00     ;09:31          ; ; ;
Salmón                             ;22   ;4    ;1      ;9     ;2   ;50       ;9     ;Train          ;2021-02-01 21:42:15 ;01:00     ;09:31          ; ; ;
Obito                              ;19   ;2    ;0      ;10    ;0   ;50       ;4     ;Train          ;2021-02-01 21:42:15 ;01:00     ;09:31          ; ; ;
Traizer                            ;46   ;10   ;1      ;11    ;4   ;40       ;23    ;Cobblestone    ;2021-02-01 21:28:23 ;00:32     ;10:43          ; ; ;
✪ ∆[C]old ∆                        ;46   ;7    ;0      ;11    ;2   ;71       ;14    ;Cobblestone    ;2021-02-01 21:28:23 ;00:32     ;10:43          ; ; ;
Ilesis                             ;13   ;13   ;2      ;7     ;5   ;53       ;31    ;Cobblestone    ;2021-02-01 21:28:23 ;00:32     ;10:43          ; ; ;
